ID,Name,Country,Characteristics,Image,Description
1,The seven o'clock man,Canada,,the_seven_oclock_man.jpg,
2,La Sucia,Honduras,,la_sucia.jpg,
3,La Cegua,Nicaragua,,la_cegua.jpg,
4,El Sombrerón,Guatemala,,el_sombreron.jpg,
5,Black Cadejo,El Salvador,,black_cadejo.jpg,
6,El Coco,Mexico,,el_coco.jpg,
6,El Coco,Colombia,,el_coco.jpg,
7,Jersey Devil,United States of America,,jersey_devil.jpg,
8,Tata Duende,Belize,,tata_duende.jpg,
9,La Tulevieja,Panama,,la_tulevieja.jpg,
10,La Ciguapa,Dominican Republic,,la_ciguapa.jpg,
11,Mètminwi,Haity,,mètminwi.jpg,
12,Logaroo,Grenada,,logaroo.jpg,
13,El Cuco,Costa Rica,,el_cuco.jpg,
13,El Cuco,Cuba,,el_cuco.jpg,
13,Cuco,Uruguay,,el_cuco.jpg,
14,Jumbee,Antigua and Barbuda,,jumbee.jpg,
14,Jumbee,Bahamas,,jumbee.jpg,
14,Jumbee,Barbados,,jumbee.jpg,
14,Jumbee,Jamaica,,jumbee.jpg,
14,Jumbee,Trinidat and Tobago,,jumbee.jpg,
14,Jumbee,Guyana,,jumbee.jpg,
14,Jumbee,Venezuela,,jumbee.jpg,
15,Asema,Suriname,,asema.jpg,
16,Cuca,Brazil,,cuca.jpg,
18,El Viejo De La Bolsa,Chile,,el_viejo_de_la_bolsa.jpg,
18,El Viejo De La Bolsa,Argentina,,el_viejo_de_la_bolsa.jpg,
17,Yasy Yatere,Paraguay,,yasi_yatere.jpg,
19,Pishataco,Peru,,pishataco.jpg,
19,Pishataco,Bolicia,,pishataco.jpg,
20,Kuartam,Ecuador,,kuartam.jpg,
21,Bokkenrijders,Netherland,,bokkenrijders.jpg,
22,Kelpie,Scotland,,kelpie.jpg,
23,Gryla,Iceland,,gryla.jpg,
24,De Béise Monni,Luxembourg,,de_beise_monni.jpg,
25,Bussenmand,Denmark,,bussenmand.jpg,
26,Kludde,Belgium,,kludde.jpg,
27,Nokken,Norway,,nokken.jpg,
27,Nokken,Sweden,,nokken.jpg,
28,Mörkö,Finland,,morko.jpg,
29,Butzemann,Germany,,butzemann.jpg,
30,Boogeyman,United Kingdom,,boogeyman.jpg,
31,Sluagh,Ireland (Northern),,sluagh.jpg,
32,Bodach,Republic of Irland,,bodach.jpg,
33,Black Annis,England,,black_annis.jpg,
34,Hans Trapp,France,,hans_trapp.jpg,
35,Afanc,Wales,,afanc.jpg,
36,Coco,Portugal,,coco.jpg,
37,El Hombre Del Saco,Spain,,el_hombre_del_saco.jpg,
38,Böögg,Switzerland,,boogg.jpg,
39,Krampus,Austria,,krampus.jpg,
40,Shrtiga,Albania,,shrtiga.jpg,
41,The Guschg Herdsmen's Doll,Liechtenstein,,the_guschg_herdsmens_doll.jpg,
42,Babaroga,Bosnia and Herzegovina,,babaroga.jpg,
42,Babaroga,Croatia,,babaroga.jpg,
42,Babaroga,Kosovo,,babaroga.jpg,
42,Babaroga,Moldova,,babaroga.jpg,
42,Babaroga,Macedonia,,babaroga.jpg,
42,Babaroga,Serbia,,babaroga.jpg,
43,Babau,Italy,,babau.jpg,
44,Babaw,Malta,,babaw.jpg,
45,Bubus,Hungary,,bubus.jpg,
46,Baubus,Latvia,,baubus.jpg,
46,Baubus,Lithuania,,baubus.jpg,
47,Vodyanoy,Czech Republic,,vodyanoy.jpg,
47,Vodyanoy,Slovakia,,vodyanoy.jpg,
47,Vodyanoy,Slovenia,,vodyanoy.jpg,
48,Baba Yaga,Belarus,,baba_yaga.jpg,
48,Baba Yaga,Poland,,baba_yaga.jpg,
48,Baba Yaga,Russia,,baba_yaga.jpg,
48,Baba Yaga,Ukraine,,baba_yaga.jpg,
49,Bau Bau,Romania,,bau_bau.jpg,
50,Ali,Georgia,,ali.jpg,
51,Div,Armenia,,div.jpg,
51,Div,Azerbaijan,,div.jpg,
52,Kkullas,Cyprus,,kkullas.jpg,
53,Baboulos,Greece,,baboulos.jpg,
54,Psoglav,Montenegro,,psoglav.jpg,
55,Karakondjul,Bulgaria,,karakondjul.jpg,
56,Abu I Kees,Lebanon,,abu_i_kees.jpg,
57,Karankoncolos,Turkey,,karankoncolos.jpg,
58,Madar-i-al,Afganistan,,madar-i-al.jpg,
59,Dybbuk,Israel,,dybbuk.jpg,
60,Saalua,Iraq,,saalua.jpg,
61,Nasnãs,Yemen,,nasnas.jpg,
62,Süräle,Uzbekistan,,surale.jpg,
63,Zhalmauyz Kempir,Kazakhstan,,zhalmauyz_kempir.jpg,
63,Zhalmauyz Kempir,Kyrgyzstan,,zhalmauyz_kempir.jpg,
64,Basty,Turkmenistan,,basty.jpg,
65,Looloo Khor Khoreh,Iran,,looloo_khor_khoreh.jpg,
65,Looloo Khor Khoreh,Tajikistan,,looloo_khor_khoreh.jpg,
66,Dojairah and Umna Al Ghola,Saudi Arabia,,dojairah.jpg,
67,The Mum,Pakistan,,the_mum.jpg,
68,Gurumapa,Nepal,,gurumapa.jpg,
69,Bhoot,India,,bhoot.jpg,
69,Bhoot,Bangladesh,,bhoot.jpg,
70,Kinduri,Sri Lanka,,kinduri.jpg,
71,Krahang,Thailand,,krahang.jpg,
72,Santu Sakai,Malaysia,,santu_sakai.jpg,
73,Wewe Gombel,Indonesia,,wewe_gombel.jpg,
74,Bunyip,Australia,,bunyip.jpg,
75,Grandmother Tiger,China,,grandmother_tiger.jpg,
75,Grandmother Tiger,Taiwan,,grandmother_tiger.jpg,
76,Almas,Mongolia,,almas.jpg,
77,Ahp,Cambodia,,ahp.jpg,
78,Namahage,Japan,,namahage.jpg,
79,Mang-Tae-Gi-Hal-A-Buh-Ji,North Korea,,mang-tae-gi-hal-a-buh-ji.jpg,
79,Mang-Tae-Gi-Hal-A-Buh-Ji,South Korea,,mang-tae-gi-hal-a-buh-ji.jpg,
80,Ông Ba Bi,Vietnam,,ong_ba_bi.jpg,
81,Aswang,Philippines,,aswang.jpg,
82,Langsuyar,Singapore,,langsuyar.jpg,
83,Patupaiarehe,New Zealand,,patupaiarehe.jpg,
84,Lamia,Libya,,lamia.jpg,
85,H'Awouahoua,Algeria,,h_awouahoua.jpg,
86,Boukencha,Marocco,,boukencha.jpg,
87,Ninki Nanka,Senegal,,ninki_nanka.jpg,
87,Ninki Nanka,The Gambia,,ninki_nanka.jpg,
88,Adze,Ghana,,adze.jpg,
88,Adze,Togo,,adze.jpg,
89,Whistling Demons,Nigeria,,whistling_demons.jpg,
90,Eloko,Democratic Republic of the Congo,,eloko.jpg,
91,Tokoloshe,Lesotho,,tokoloshe.jpg,
91,Tokoloshe,South Africa,,tokoloshe.jpg,
92,Songomby,Madagascar,,songomby.jpg,
93,Tuyewera,Malawi,,tuyewera.jpg,
93,Tuyewera,Zambia,,tuyewera.jpg,
94,Popobawa,Tanzania,,popobawa.jpg,
95,Rompo,Uganda,,rompo.jpg,
95,Rompo,Zimbabwe,,rompo.jpg,
96,Werehyena,Ethiopia,,werehyena.jpg,
96,Werehyena,Somalia,,werehyena.jpg,
96,Werehyena,South Sudan,,werehyena.jpg,
96,Werehyena,Sudan,,werehyena.jpg,
97,Abu Rigl Maslukha,Egypt,,abu_rigl_maslukha.jpg,